,Kvadrata,Broj soba,Latitude,Longitude,Sprat,Balkon,Lift,Novogradnja,Plin,Podrum/Tavan,Vrsta grijanja,cluster,Cijena
2,46.0,2.0,43.83993047,18.33830883,2,1,1,0,0,0,4.0,1,79500.0
3,86.0,4.0,43.84211095,18.34294377,12,1,1,0,0,1,4.0,1,166000.0
4,55.0,2.0,43.84090937,18.34070136,6,1,1,0,0,1,4.0,1,105000.0
5,105.0,4.0,43.84215223,18.34011402,8,0,1,0,0,0,4.0,1,140000.0
6,130.0,4.0,43.84196011,18.33900442,8,0,1,0,0,0,4.0,1,104000.0
7,55.0,2.0,43.84058049,18.34097494,6,1,1,0,0,0,4.0,1,105000.0
8,57.0,2.0,43.84035724,18.34498934,10,0,1,0,0,1,4.0,1,95000.0
9,70.0,3.0,43.84356056,18.34634747,3,1,1,0,0,1,4.0,1,95000.0
10,86.0,4.0,43.84313497,18.34439483,12,0,1,0,0,1,4.0,1,154000.0
11,86.0,4.0,43.84330521,18.34591832,12,0,1,0,0,1,4.0,1,154000.0
12,64.0,3.0,43.84313497,18.34731307,12,0,1,0,0,1,4.0,1,87550.0
13,64.0,3.0,43.84322782,18.34437337,12,0,0,0,0,1,4.0,1,87550.0
14,77.0,4.0,43.84038016,18.34353652,10,1,1,0,0,0,4.0,1,115000.0
15,50.0,3.0,43.84037576,18.33854105,7,1,1,0,0,1,1.0,1,105000.0
16,50.0,3.0,43.84035254,18.33854105,7,0,1,0,0,1,1.0,1,105000.0
17,70.0,3.0,43.84284196,18.34436779,9,1,1,0,0,1,4.0,1,120000.0
18,55.0,2.0,43.84040826,18.33841324,7,1,1,0,0,1,4.0,1,105000.0
19,68.0,3.0,43.84206271,18.34077265,5,1,1,1.0,0,1,4.0,1,107500.0
20,69.0,3.0,43.83909298,18.34100185,8,1,1,0,0,1,4.0,1,110000.0
22,80.0,4.0,43.84301116,18.34553208,1,0,1,0,0,1,4.0,1,110000.0
23,80.0,4.0,43.84297581,18.34523584,1,0,1,0,0,1,4.0,1,110000.0
44,71.0,4.0,43.84189687,18.34396567,1,1,1,0,0,1,4.0,1,110000.0
45,47.0,2.0,43.84189895,18.34761089,3,0,1,0,0,1,4.0,1,83000.0
46,87.0,4.0,43.84199746,18.34297862,15,0,1,0,1.0,0,4.0,1,142000.0
48,109.0,4.0,43.83986555,18.3404788,9,1,1,0,0,1,4.0,1,149000.0
49,68.0,3.0,43.83859256,18.34646549,4,1,1,0,0,1,4.0,1,130000.0
50,93.0,3.0,43.84308854,18.34727015,8,1,1,0,0,1,4.0,1,130000.0
51,93.0,3.0,43.84294925,18.34748473,8,1,1,0,0,1,4.0,1,130000.0
52,39.0,1.0,43.84215997,18.34008183,9,0,1,0,0,1,4.0,1,69900.0
54,77.0,4.0,43.8409484,18.34321882,1,1,1,0,0,1,4.0,1,119000.0
55,48.0,1.5,43.84239211,18.34154096,12,1,1,0,0,1,4.0,1,97000.0
56,56.0,2.0,43.84216897,18.34402811,14,1,1,0,0,1,4.0,1,95000.0
57,55.0,2.0,43.83921165,18.34164824,5,1,1,0,0,1,4.0,1,90750.0
58,70.0,3.0,43.84038016,18.34720578,5,1,1,0,0,1,4.0,1,115000.0
59,65.0,3.0,43.84299568,18.34690806,5,1,1,0,0,1,4.0,1,97500.0
60,85.0,4.0,43.84118495,18.34029641,0,1,0,0,1.0,1,4.0,1,150000.0
61,112.0,5.0,43.84150543,18.34362506,2,1,0,0,0,1,4.0,1,149000.0
62,43.0,2.0,43.84034920000001,18.34617581,3,0,1,0,0,1,4.0,1,85000.0
63,69.0,3.0,43.84147814,18.34340503,6,0,1,0,0,1,4.0,1,114000.0
64,100.0,3.0,43.84059683,18.33810773,7,1,1,1.0,1.0,1,1.0,1,155000.0
65,50.0,3.0,43.83827527,18.33900895,7,1,1,0,0,1,4.0,1,105000.0
66,50.0,3.0,43.84031385,18.33851959,7,1,1,0,0,1,4.0,1,105000.0
67,68.0,3.0,43.84125974,18.34301888,1,1,1,0,0,1,4.0,1,105000.0
68,69.0,2.0,43.83898723,18.34069338,4,1,1,0,0,1,4.0,1,115000.0
69,68.0,3.0,43.84280997,18.34675517,16,1,1,0,0,1,4.0,1,79950.0
70,70.0,3.0,43.84328973,18.34553208,3,1,1,0,0,1,4.0,1,95000.0
71,47.0,2.0,43.84167933,18.34538986,12,1,1,0,0,1,4.0,1,73000.0
72,70.0,3.0,43.84358377,18.34606853,3,1,1,0,0,1,4.0,1,95000.0
73,70.0,3.0,43.84328973,18.34473815,3,1,1,0,0,1,4.0,1,95000.0
74,59.0,2.0,43.84175758,18.34407296,2,1,0,0,0,1,2.0,1,90000.0
75,70.0,3.0,43.84305759,18.34744182,1,1,1,0,0,0,4.0,1,110000.0
76,60.0,3.0,43.84033373,18.34562864,10,1,1,0,0,0,4.0,1,84900.0
77,67.0,3.0,43.84080577,18.34006038,1,1,1,0,0,0,4.0,1,114000.0
